CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,PRD_PT_NVA_ALIANZA,VOTOS_CAND_NREG,VOTOS_VALIDOS,VOTOS_NULOS,VOTOS_TOTAL,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA,ID_DTTO_FEDERAL_jul2020,ID_DTTO_LOCAL_jul2020,MUNICIPIO_jul2020,NOM_MUN_jul2020,SECCION_jul2020,TIPO_SECC_jul2020,OBSERVACION_MMGE_31jul2020,.fittedPC1,estratificacion_num,indice_grupo,estrato_df
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,E01C03,61,64,55,32,4,6,2,31,4,0,4,1,0,264,9,273,599,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,113,M,,-0.028670976277193644,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,C02,52,47,55,37,5,6,2,22,4,0,0,0,2,230,3,235,617,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,113,M,,-0.45047534838815795,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,113,MIXTA,C03,66,57,55,30,2,2,0,19,2,0,2,2,0,237,16,253,617,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,113,M,,-0.41327206466773725,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,114,RURAL,B,86,63,62,20,1,3,3,5,3,0,0,2,2,248,9,259,472,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,114,R,,-0.6971323050823925,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,114,RURAL,C01,115,70,58,12,3,4,2,7,5,0,1,2,0,279,17,296,472,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,114,R,,-0.6459772037357343,1,1,12.1
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,115,RURAL,B,101,118,61,7,7,1,4,1,2,0,2,1,0,305,14,319,634,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,115,R,,-0.010039862416315548,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,115,RURAL,C01,93,100,72,9,3,5,5,10,4,0,2,3,0,306,22,328,634,RECUENTO,NA,NA,NA,12,23,6,APATZINGAN,115,R,,-0.05610539669336703,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,116,URBANA,B,37,71,111,16,1,1,0,9,2,0,1,0,0,249,6,255,540,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,116,U,,-0.32451626822084256,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,116,URBANA,C01,37,58,83,13,2,3,2,13,0,0,0,0,0,211,9,220,539,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,116,U,,-0.43198014366468035,1,2,12.2
5,16,MICHOACAN,12,23,APATZINǴN,6,APATZINǴN,117,MIXTA,B,36,71,78,13,2,4,0,4,0,0,0,2,0,210,0,210,415,ACTA CASILLA,NA,NA,NA,12,23,6,APATZINGAN,117,M,,-0.4306236632207175,1,2,12.2
